Incident Number,Time in Alarm DateTime,Incident Date,Total Time Dispatch Notified to Last Unit Cleared(seconds),Incident Type Code,Incident Type,Location Street Address,Latitude,Longitude,Location ZIP
24-0013016,4/3/2024 19:11,4/3/2024,904,113,"Cooking fire, confined to container",2523 WALNUT HILL Circle,32.777747,-97.065742,76006
24-0013035,4/4/2024 2:25,4/4/2024,821,142,Brush or brush-and-grass mixture fire,1840 CARRIAGE HOUSE Circle,32.7631,-97.089413,76011
24-0013069,4/4/2024 9:23,4/4/2024,2311,114,"Chimney or flue fire, confined to chimney or flue",1900 LANETTE Lane,32.715057,-97.059858,76010
24-0013120,4/4/2024 17:10,4/4/2024,740,160,"Special outside fire, other",6612 HIGH COUNTRY Trail,32.672337,-97.213768,76016
24-0013396,4/6/2024 20:28,4/6/2024,1356,141,"Forest, woods or wildland fire",2506 ROBERTS Circle,32.730445,-97.064037,76010
24-0013397,4/6/2024 20:19,4/6/2024,2237,161,Outside storage fire,2631 EASOM Circle,32.778377,-97.095834,76006
24-0013425,4/7/2024 1:42,4/7/2024,3208,131,Passenger vehicle fire,2573 BILLY STEWART Drive,32.702295,-97.078542,76014
24-0013514,4/7/2024 17:18,4/7/2024,1643,131,Passenger vehicle fire,SH 360 SB ENTER ABRAM RMP,32.72609,-97.062583,76011
24-0013548,4/7/2024 21:34,4/7/2024,2938,131,Passenger vehicle fire,SH 360 NB TO AVENUE H,32.773651,-97.062128,76006
24-0013560,4/7/2024 23:14,4/7/2024,2386,131,Passenger vehicle fire,1607 North WATSON Road,32.774293,-97.06272,76006
24-0013584,4/8/2024 3:57,4/8/2024,2568,131,Passenger vehicle fire,South COLLINS Street,32.604731,-97.094337,76002
24-0013592,4/8/2024 7:04,4/8/2024,1113,113,"Cooking fire, confined to container",704 East PIONEER PWY,32.708072,-97.100306,76014
24-0013723,4/9/2024 1:32,4/9/2024,3081,131,Passenger vehicle fire,2508 WHISPER RIDGE Lane,32.780168,-97.065185,76006
24-0014048,4/11/2024 17:02,4/11/2024,1496,154,Dumpster or other outside trash receptacle fire,526 TISH Circle,32.783294,-97.111035,76006
24-0014108,4/12/2024 4:18,4/12/2024,6376,150,"Outside rubbish fire, other",2220 SHERRY Street,32.708576,-97.071889,76010
24-0014230,4/12/2024 21:17,4/12/2024,2813,111,Building fire,328 HOLLY PARK Drive,32.691917,-97.108933,76014
24-0014263,4/13/2024 4:56,4/13/2024,6186,137,Camper or recreational vehicle (RV) fire,4001 SUMAC Court,32.651169,-97.171939,76017
24-0014271,4/13/2024 8:09,4/13/2024,290,142,Brush or brush-and-grass mixture fire,2923 FOREST HOLLOW Lane,32.787721,-97.063846,76006
24-0014341,4/13/2024 15:26,4/13/2024,1344,154,Dumpster or other outside trash receptacle fire,2816 TURNBERRY Drive,32.785085,-97.092259,76006
24-0014441,4/14/2024 10:42,4/14/2024,443,142,Brush or brush-and-grass mixture fire,312 North OAK Street,32.740447,-97.109319,76011
24-0014447,4/14/2024 11:10,4/14/2024,2706,154,Dumpster or other outside trash receptacle fire,607 GEMINI Court,32.75522,-97.113315,76011
24-0014466,4/14/2024 13:52,4/14/2024,2009,113,"Cooking fire, confined to container",4741 SHADYWAY Drive,32.671622,-97.084251,76018
24-0014485,4/14/2024 16:57,4/14/2024,881,113,"Cooking fire, confined to container",3701 SUNTREE Court,32.682802,-97.087369,76014
24-0014512,4/14/2024 20:08,4/14/2024,1422,151,"Outside rubbish, trash or waste fire",1206 BELL Street,32.616119,-97.137354,76001
24-0014526,4/14/2024 22:03,4/14/2024,2412,154,Dumpster or other outside trash receptacle fire,5781 Southwest GREEN OAKS BLV,32.674514,-97.191357,76017
24-0014580,4/15/2024 11:10,4/15/2024,2108,142,Brush or brush-and-grass mixture fire,307 NEW YORK Avenue,32.734025,-97.080174,76010
24-0014651,4/15/2024 19:09,4/15/2024,1569,113,"Cooking fire, confined to container",2407 FOREST OAKS Circle,32.772924,-97.066285,76006
24-0014774,4/16/2024 16:52,4/16/2024,1806,131,Passenger vehicle fire,505 DOUG RUSSELL Road,32.725691,-97.112568,76010
24-0014844,4/17/2024 7:46,4/17/2024,2079,154,Dumpster or other outside trash receptacle fire,1300 North COLLINS Street,32.754089,-97.097238,76011
24-0014910,4/17/2024 16:34,4/17/2024,725,151,"Outside rubbish, trash or waste fire",1517 KENT Drive,32.719504,-97.087675,76010
24-0015015,4/18/2024 11:57,4/18/2024,4042,132,Road freight or transport vehicle fire,SH 360 NB EXIT I30,32.761794,-97.063482,76006
24-0015217,4/19/2024 18:06,4/19/2024,821,113,"Cooking fire, confined to container",2122 KNOLL CREST Drive,32.684974,-97.074525,76014
24-0015279,4/20/2024 2:49,4/20/2024,4211,162,Outside equipment fire,824 TIMBERLAKE Drive,32.727369,-97.048559,76010
24-0015290,4/20/2024 6:39,4/20/2024,2360,131,Passenger vehicle fire,East I20 HWY EB,32.679194,-97.114855,76017
24-0015315,4/20/2024 8:34,4/20/2024,4631,111,Building fire,3901 COUNTRY CLUB Road,32.719935,-97.166558,76013
24-0015536,4/21/2024 22:30,4/21/2024,3317,131,Passenger vehicle fire,NEW YORK Avenue,32.679146,-97.080625,76018
24-0015786,4/23/2024 18:48,4/23/2024,842,134,Water vehicle fire,7115 FORESTVIEW Drive,32.67529,-97.220892,76016
24-0015978,4/25/2024 3:59,4/25/2024,2842,151,"Outside rubbish, trash or waste fire",4800 US 287 Highway,32.667593,-97.207307,76017
24-0015988,4/25/2024 6:33,4/25/2024,958,113,"Cooking fire, confined to container",West DIVISION Street,32.731058,-97.180078,76120
24-0016026,4/25/2024 11:19,4/25/2024,6908,111,Building fire,1108 WOODCREST Lane,32.718658,-97.121381,76013
24-0016047,4/25/2024 13:06,4/25/2024,3855,151,"Outside rubbish, trash or waste fire",1307 West ABRAM Street,32.736217,-97.125576,76010
24-0016053,4/25/2024 14:27,4/25/2024,1857,111,Building fire,503 South ELM Street,32.732541,-97.104467,76010
24-0016055,4/25/2024 14:55,4/25/2024,768,151,"Outside rubbish, trash or waste fire",3905 CAROL Lane,32.673455,-97.169934,76017
24-0016068,4/25/2024 17:48,4/25/2024,1127,113,"Cooking fire, confined to container",805 CARTER Drive,32.727515,-97.067917,76010
24-0016089,4/25/2024 20:49,4/25/2024,3122,131,Passenger vehicle fire,I20 EB EXIT COLLINS,32.677606,-97.094509,76018
24-0016104,4/25/2024 23:28,4/25/2024,1021,113,"Cooking fire, confined to container",1400 TIMBERLAKE Drive,32.721998,-97.052139,76010
24-0016245,4/26/2024 23:07,4/26/2024,740,151,"Outside rubbish, trash or waste fire",3730 LITTLE Road,32.6856,-97.190821,76016
24-0016264,4/27/2024 0:53,4/27/2024,4765,111,Building fire,301 KNOLL Lane,32.719884,-97.109226,76010
24-0016369,4/27/2024 22:32,4/27/2024,2574,131,Passenger vehicle fire,US 287 SB TO KENNEDALE-SUBLETT RMP,32.64625,-97.185305,76001
24-0016465,4/28/2024 13:34,4/28/2024,8089,132,Road freight or transport vehicle fire,1510 NEW YORK Avenue,32.720881,-97.080283,76010
24-0016532,4/29/2024 4:43,4/29/2024,1726,132,Road freight or transport vehicle fire,I20 EB EXIT GREEN OAKS RMP,32.673072,-97.200197,76017
24-0016630,4/29/2024 17:12,4/29/2024,803,151,"Outside rubbish, trash or waste fire",2015 WARNFORD PLC,32.702994,-97.141405,76015
24-0016645,4/29/2024 18:56,4/29/2024,1123,151,"Outside rubbish, trash or waste fire",606 South COLLINS Street,32.729917,-97.097464,76010
24-0016661,4/29/2024 20:51,4/29/2024,2855,113,"Cooking fire, confined to container",1250 West PIONEER PWY,32.709029,-97.124655,76013
24-0016713,4/30/2024 7:59,4/30/2024,956,151,"Outside rubbish, trash or waste fire",1514 TULIP Drive,32.711068,-97.130815,76013
24-0016875,5/1/2024 10:56,5/1/2024,2334,113,"Cooking fire, confined to container",2211 GREENWAY Street,32.72832,-97.070237,76010
24-0016947,5/1/2024 21:24,5/1/2024,1936,131,Passenger vehicle fire,117 South WATSON Road,32.740229,-97.061681,76010
24-0016979,5/2/2024 5:22,5/2/2024,1165,111,Building fire,1513 CONNALLY Terrace,32.719626,-97.091939,76010
24-0017092,5/3/2024 2:01,5/3/2024,3604,131,Passenger vehicle fire,707 NL ROBINSON Drive,32.744206,-97.110689,76011
24-0017104,5/3/2024 5:32,5/3/2024,6440,111,Building fire,133 East PARK ROW Drive,32.721355,-97.099869,76010
24-0017297,5/4/2024 11:31,5/4/2024,1261,113,"Cooking fire, confined to container",2002 MARIE WELDON Lane,32.63579,-97.139723,76001
24-0017463,5/5/2024 15:23,5/5/2024,2904,131,Passenger vehicle fire,2000-BLK West I20 Freeway,32.67499,-97.137687,76017
24-0017531,5/6/2024 5:36,5/6/2024,561,143,Grass fire,I30 EB EXIT SH 360,32.759507,-97.05641,76011
24-0017777,5/8/2024 7:03,5/8/2024,1216,113,"Cooking fire, confined to container",2410 West DIVISION Street,32.735801,-97.148435,76012
24-0017889,5/9/2024 3:06,5/9/2024,3452,161,Outside storage fire,1114 PIERCE ARROW Drive,32.641858,-97.130434,76001
24-0018002,5/10/2024 9:07,5/10/2024,2702,111,Building fire,820 North WATSON Road,32.755063,-97.062885,76011
24-0018059,5/10/2024 17:37,5/10/2024,1717,154,Dumpster or other outside trash receptacle fire,4650 LITTLE Road,32.67139,-97.202987,76017
24-0018065,5/10/2024 19:04,5/10/2024,760,151,"Outside rubbish, trash or waste fire",East I20 HWY EB,32.666985,-97.223425,76017
24-0018069,5/10/2024 19:44,5/10/2024,6459,111,Building fire,4302 WILLOW SPRINGS Drive,32.639526,-97.176442,76001
24-0018099,5/11/2024 0:12,5/11/2024,982,131,Passenger vehicle fire,2140 East LAMAR BLV,32.761363,-97.074771,76006
24-0018192,5/11/2024 18:13,5/11/2024,1307,162,Outside equipment fire,325 South MESQUITE Street,32.734273,-97.105316,76010
24-0018292,5/12/2024 11:00,5/12/2024,1665,131,Passenger vehicle fire,2000 North COOPER Street,32.766262,-97.11436,76011
24-0018384,5/13/2024 0:07,5/13/2024,3068,131,Passenger vehicle fire,I30 EB ENTER BALLPARK RMP,32.759492,-97.062741,76011
24-0018500,5/13/2024 21:29,5/13/2024,1299,154,Dumpster or other outside trash receptacle fire,5777 Southwest GREEN OAKS BLV,32.674839,-97.192304,76017
24-0018502,5/13/2024 22:02,5/13/2024,866,130,"Mobile property (vehicle) fire, other",100 Southeast GREEN OAKS BLV,32.659682,-97.115013,76018
24-0018519,5/14/2024 0:52,5/14/2024,3297,111,Building fire,3708 JOSHUA Court,32.686928,-97.192663,76016
24-0018615,5/14/2024 17:22,5/14/2024,666,143,Grass fire,US 287 SB Green,32.614027,-97.160846,76001
24-0018688,5/15/2024 8:32,5/15/2024,10087,111,Building fire,2135 HUNTINGTON Drive,0,0,76010
24-0018806,5/16/2024 0:12,5/16/2024,4525,151,"Outside rubbish, trash or waste fire",5702 MOBILE Avenue,32.654735,-97.194398,76017
24-0018955,5/17/2024 4:50,5/17/2024,2277,111,Building fire,442 STONEHENGE Drive,32.705623,-97.105509,76014
24-0018978,5/17/2024 10:14,5/17/2024,2589,161,Outside storage fire,1918 AMBERS Circle,32.730617,-97.077894,76010
24-0018987,5/17/2024 11:21,5/17/2024,2379,112,Fires in structure other than in a building,4027 BAY SPRINGS Court,32.676971,-97.170656,76016
24-0019044,5/17/2024 17:27,5/17/2024,1367,113,"Cooking fire, confined to container",6707 KEELER Drive,32.635969,-97.119042,76001
24-0019180,5/18/2024 15:01,5/18/2024,1223,151,"Outside rubbish, trash or waste fire",7119 FORESTVIEW Drive,32.675294,-97.221328,76016
24-0019231,5/18/2024 20:35,5/18/2024,705,131,Passenger vehicle fire,2475 ASCENSION BLV,32.77534,-97.08402,76006
24-0019259,5/19/2024 1:06,5/19/2024,3349,111,Building fire,2510 LIMESTONE Drive,32.699405,-97.06433,76014
24-0019331,5/19/2024 14:55,5/19/2024,1091,113,"Cooking fire, confined to container",1108 ANGEL FIRE Lane,32.638525,-97.130478,76001
24-0019386,5/20/2024 0:05,5/20/2024,6465,111,Building fire,2611 RIVER HILLS Circle,32.776727,-97.095297,76006
24-0019396,5/20/2024 4:09,5/20/2024,5353,111,Building fire,800 NETHERLAND Drive,32.664944,-97.116575,76017
24-0019507,5/20/2024 21:16,5/20/2024,764,151,"Outside rubbish, trash or waste fire",4923 CREST Drive,32.66612,-97.197427,76017
24-0019547,5/21/2024 9:42,5/21/2024,2693,118,"Trash or rubbish fire, contained",501 West THIRD Street,32.730248,-97.112244,76010
24-0019554,5/21/2024 11:14,5/21/2024,3660,111,Building fire,1400 LEGGET Street,32.666351,-97.087479,76018
24-0019725,5/22/2024 17:07,5/22/2024,804,131,Passenger vehicle fire,West I30 Freeway,32.75967,-97.114477,76011
24-0019747,5/22/2024 20:20,5/22/2024,825,150,"Outside rubbish fire, other",SH 360 NB EXIT I30,32.759754,-97.063294,76006
24-0019787,5/23/2024 6:39,5/23/2024,2608,113,"Cooking fire, confined to container",2315 HOLLOWRIDGE Lane,32.771133,-97.066054,76006
24-0019852,5/23/2024 15:24,5/23/2024,2781,132,Road freight or transport vehicle fire,North WATSON Road,32.742861,-97.062071,76011
24-0019859,5/23/2024 16:13,5/23/2024,5436,131,Passenger vehicle fire,US 287 SB,32.633476,-97.176764,76001
24-0019889,5/23/2024 21:06,5/23/2024,2060,131,Passenger vehicle fire,I20 EB ENTER FM 157,32.675515,-97.133523,76017
24-0019949,5/24/2024 11:51,5/24/2024,1543,118,"Trash or rubbish fire, contained",7700 South WATSON Road,32.626186,-97.070692,75052
24-0019954,5/24/2024 11:50,5/24/2024,2544,131,Passenger vehicle fire,I20 EB EXIT COLLINS,32.677606,-97.094509,76018
24-0020008,5/24/2024 20:39,5/24/2024,10078,111,Building fire,509 West NORWOOD Circle,32.731104,-97.146975,76013
24-0020162,5/26/2024 2:11,5/26/2024,1905,150,"Outside rubbish fire, other",2208 NEW YORK Avenue,32.709631,-97.080463,76010
24-0020242,5/26/2024 11:03,5/26/2024,4955,151,"Outside rubbish, trash or waste fire",6108 HEDGEAPPLE Court,32.645911,-97.151097,76001
24-0020281,5/26/2024 17:00,5/26/2024,3042,154,Dumpster or other outside trash receptacle fire,410 LILLARD Road,32.737365,-97.14665,76012
24-0020443,5/27/2024 19:33,5/27/2024,3212,111,Building fire,4015 SHADY VALLEY Drive,,,76013
24-0020475,5/27/2024 21:08,5/27/2024,2527,140,"Natural vegetation fire, other",4907 COSTA DE ORO Court,32.667188,-97.146092,76017
24-0020489,5/27/2024 21:46,5/27/2024,5964,111,Building fire,3605 BIG BEAR LAKE Court,32.683767,-97.218623,76016
24-0020507,5/27/2024 23:33,5/27/2024,2446,131,Passenger vehicle fire,4802 West I20 Highway,32.672634,-97.200632,76017
24-0020581,5/28/2024 6:53,5/28/2024,3452,111,Building fire,2516 PLAZA Street,32.726994,-97.063772,76010
24-0020766,5/28/2024 19:22,5/28/2024,637,150,"Outside rubbish fire, other",428 WESTVIEW Terrace,32.733067,-97.136456,76013
24-0020814,5/29/2024 6:06,5/29/2024,2235,131,Passenger vehicle fire,1515 MARLEE Lane,32.705178,-97.087041,76014
24-0020853,5/29/2024 10:01,5/29/2024,5786,131,Passenger vehicle fire,299 East I20 Freeway,32.678401,-97.112086,76017
24-0020975,5/30/2024 7:36,5/30/2024,1953,162,Outside equipment fire,2801 MATLOCK Road,32.698857,-97.114747,76014
24-0021011,5/30/2024 10:28,5/30/2024,5347,114,"Chimney or flue fire, confined to chimney or flue",2405 FALLWOOD Drive,32.691932,-97.065974,76014
24-0021088,5/30/2024 18:36,5/30/2024,631,113,"Cooking fire, confined to container",2214 East PARK ROW Drive,32.718636,-97.070493,76010
24-0021118,5/30/2024 23:27,5/30/2024,9512,111,Building fire,3002 BAHAR Drive,32.727044,-97.055743,76010
24-0021208,5/31/2024 16:04,5/31/2024,2081,113,"Cooking fire, confined to container",3200 South CENTER Street,32.693211,-97.107608,76014
24-0021231,5/31/2024 19:05,5/31/2024,1030,162,Outside equipment fire,4814 HOLLOW TREE Drive,32.669591,-97.08443,76018
24-0021234,5/31/2024 18:55,5/31/2024,2524,111,Building fire,1608 PECAN CHASE Circle,32.749213,-97.132877,76012
24-0021254,5/31/2024 22:22,5/31/2024,931,131,Passenger vehicle fire,1409 TATUM Drive,32.754377,-97.135251,76012
24-0021685,6/4/2024 7:38,6/4/2024,814,113,"Cooking fire, confined to container",2418 INEZ Drive,32.712749,-97.148281,76013
24-0021712,6/4/2024 11:28,6/4/2024,2264,113,"Cooking fire, confined to container",1533 CARSWELL Terrace,32.71827,-97.093737,76010
24-0021762,6/4/2024 15:46,6/4/2024,1707,131,Passenger vehicle fire,SH 360 SB EXIT PARK ROW RMP,32.721234,-97.062655,76010
24-0021830,6/4/2024 22:07,6/4/2024,3950,131,Passenger vehicle fire,West I30 Freeway,32.75967,-97.114477,76012
24-0021945,6/5/2024 20:51,6/5/2024,5876,111,Building fire,2518 HOLLY BROOK Lane,32.77769,-97.064036,76006
24-0021956,6/5/2024 20:06,6/5/2024,11397,131,Passenger vehicle fire,1578 Baird Farm Road,32.759548,-97.085296,76011
24-0021957,6/5/2024 23:01,6/5/2024,4259,151,"Outside rubbish, trash or waste fire",1278 West ARKANSAS Lane,32.705167,-97.126604,76015
24-0021986,6/6/2024 6:13,6/6/2024,2795,160,"Special outside fire, other",1650 East RANDOL MILL Road,32.750293,-97.086348,76011
24-0022073,6/6/2024 20:05,6/6/2024,6130,111,Building fire,4925 OSAGE Drive,32.666275,-97.112843,76018
24-0022076,6/6/2024 20:29,6/6/2024,678,154,Dumpster or other outside trash receptacle fire,2303 LEXINGTON Drive,32.705823,-97.093288,76014
24-0022077,6/6/2024 20:14,6/6/2024,1785,132,Road freight or transport vehicle fire,3247 East PIONEER PWY,32.712366,-97.049968,76010
24-0022253,6/8/2024 3:12,6/8/2024,11739,111,Building fire,3608 PALMER Court,32.687655,-97.086556,76014
24-0022289,6/8/2024 11:20,6/8/2024,701,142,Brush or brush-and-grass mixture fire,South COLLINS Street,32.728233,-97.097387,76010
24-0022462,6/9/2024 14:08,6/9/2024,1714,154,Dumpster or other outside trash receptacle fire,6605 FALCON RIVER Way,32.641291,-97.187496,76001
24-0022517,6/9/2024 20:20,6/9/2024,2215,131,Passenger vehicle fire,West I30 Freeway,32.75967,-97.114477,76011
24-0022590,6/10/2024 13:23,6/10/2024,617,151,"Outside rubbish, trash or waste fire",1837 MELISSA Street,32.733042,-97.081117,76010
24-0022609,6/10/2024 14:43,6/10/2024,1105,162,Outside equipment fire,920 RIDGEWOOD Terrace,32.748278,-97.12686,76012
24-0022630,6/10/2024 16:38,6/10/2024,544,140,"Natural vegetation fire, other",5499 West MAYFIELD Road,32.690133,-97.189791,76016
24-0022711,6/11/2024 4:37,6/11/2024,2263,111,Building fire,2125 PARK SPRINGS Circle,32.712759,-97.167636,76013
24-0022719,6/11/2024 6:13,6/11/2024,2053,131,Passenger vehicle fire,I20 EB ENTER GREEN OAKS RMP,32.674791,-97.194256,76017
24-0022890,6/12/2024 14:10,6/12/2024,3670,111,Building fire,2426 South GRAHAM Drive,32.727376,-97.148181,76013
24-0022990,6/13/2024 12:13,6/13/2024,2794,130,"Mobile property (vehicle) fire, other",7355 South COOPER Street,32.626382,-97.135998,76001
24-0023105,6/14/2024 11:24,6/14/2024,7520,111,Building fire,2011 MELISSA Street,32.732379,-97.07609,76010
24-0023133,6/14/2024 14:21,6/14/2024,6347,142,Brush or brush-and-grass mixture fire,STADIUM Drive,32.741712,-97.083387,76011
24-0023243,6/15/2024 12:04,6/15/2024,1214,142,Brush or brush-and-grass mixture fire,2002 FRANKLIN Drive,32.764809,-97.109713,76011
24-0023330,6/15/2024 22:02,6/15/2024,1493,113,"Cooking fire, confined to container",2817 South COOPER Street,32.698817,-97.123065,76015
24-0023376,6/16/2024 4:34,6/16/2024,5629,150,"Outside rubbish fire, other",2409 MEDLIN Drive,32.704722,-97.127292,76010
24-0023458,6/16/2024 19:40,6/16/2024,956,113,"Cooking fire, confined to container",7211 GARDEN GREEN Drive,32.627102,-97.145835,76001
24-0023503,6/17/2024 5:24,6/17/2024,4627,111,Building fire,744 TAFT Drive,32.767675,-97.101905,76011
24-0023612,6/17/2024 19:46,6/17/2024,5309,111,Building fire,5607 AMERADA Circle,32.654735,-97.194398,76017
24-0023651,6/18/2024 2:23,6/18/2024,655,113,"Cooking fire, confined to container",2017 OAK POINT Drive,32.712427,-97.076797,76010
24-0023883,6/19/2024 18:06,6/19/2024,903,113,"Cooking fire, confined to container",6104 CREEKWAY Lane,32.646949,-97.124176,76017
24-0023890,6/19/2024 19:01,6/19/2024,1035,154,Dumpster or other outside trash receptacle fire,1805 PITCARIN Lane,32.685771,-97.137747,76015
24-0023918,6/19/2024 23:19,6/19/2024,1450,154,Dumpster or other outside trash receptacle fire,2510 HOLLANDALE Circle,32.733692,-97.066955,76010
24-0023928,6/20/2024 0:13,6/20/2024,11680,111,Building fire,108 East SECOND Street,32.731032,-97.106197,76010
24-0023969,6/20/2024 11:31,6/20/2024,2028,151,"Outside rubbish, trash or waste fire",108 East SECOND Street,32.731032,-97.106197,76010
24-0024052,6/20/2024 19:55,6/20/2024,1293,113,"Cooking fire, confined to container",1441 TIMBERLAKE Drive,32.721811,-97.050645,76010
24-0024066,6/20/2024 22:32,6/20/2024,1112,151,"Outside rubbish, trash or waste fire",919 West PIONEER PWY,32.708594,-97.11795,76013
24-0024155,6/21/2024 19:01,6/21/2024,3766,150,"Outside rubbish fire, other",2924 West DIVISION Street,32.73598,-97.155576,76012
24-0024179,6/21/2024 21:02,6/21/2024,2998,131,Passenger vehicle fire,4505 NEW YORK Avenue,32.674562,-97.07976,76018
24-0024180,6/21/2024 21:26,6/21/2024,2750,118,"Trash or rubbish fire, contained",5900 US 287 Highway,32.649653,-97.189916,76017
24-0024182,6/21/2024 22:26,6/21/2024,11454,111,Building fire,804 SECRETARY Drive,32.702679,-97.116838,76015
24-0024230,6/22/2024 7:31,6/22/2024,4524,111,Building fire,800 SECRETARY Drive,32.702679,-97.116838,76015
24-0024316,6/22/2024 23:00,6/22/2024,2106,113,"Cooking fire, confined to container",3861 South COOPER Street,32.683127,-97.133078,76015
24-0024363,6/23/2024 12:18,6/23/2024,4381,111,Building fire,8423 RIVER BLUFFS Drive,32.602475,-97.083524,76002
24-0024368,6/23/2024 14:17,6/23/2024,1169,143,Grass fire,I20 EB EXIT Matlock,32.677606,-97.094509,76018
24-0024373,6/23/2024 15:25,6/23/2024,1409,113,"Cooking fire, confined to container",2504 MEADOWWOOD Trail,32.702407,-97.064536,76014
24-0024406,6/23/2024 19:06,6/23/2024,2447,131,Passenger vehicle fire,920 SIX FLAGS Drive,32.7574,-97.064613,76011
24-0024427,6/23/2024 23:01,6/23/2024,1219,113,"Cooking fire, confined to container",2615 SPANISH Trail,32.701123,-97.161493,76016
24-0024428,6/23/2024 23:07,6/23/2024,3776,111,Building fire,3045 East PARK ROW Drive,32.721425,-97.055584,76010
24-0024432,6/23/2024 23:09,6/23/2024,5174,111,Building fire,1000 LEIGHSFORD Lane,32.781768,-97.094565,76006
24-0024650,6/25/2024 17:01,6/25/2024,1272,151,"Outside rubbish, trash or waste fire",2141 North COLLINS Street,32.768236,-97.095923,76011
24-0024667,6/25/2024 20:35,6/25/2024,1519,151,"Outside rubbish, trash or waste fire",701 East ARKANSAS Lane,32.706411,-97.101405,76010
24-0024679,6/25/2024 23:02,6/25/2024,1326,140,"Natural vegetation fire, other",501 CLAIRE Court,32.73832,-97.151738,76012
24-0024884,6/27/2024 13:57,6/27/2024,5050,111,Building fire,515 SUMMERLAND Drive,32.737895,-97.162125,76012
24-0024965,6/28/2024 9:51,6/28/2024,1475,113,"Cooking fire, confined to container",1512 ARBOR TOWN Circle,32.758054,-97.09386,76011
24-0025018,6/28/2024 17:04,6/28/2024,2004,111,Building fire,2615 West DIVISION Street,32.737818,-97.151262,76012
24-0025022,6/28/2024 17:36,6/28/2024,1008,113,"Cooking fire, confined to container",707 North PECAN Street,32.745144,-97.107715,76011
24-0025039,6/28/2024 19:22,6/28/2024,2809,113,"Cooking fire, confined to container",6200 COOL SPRINGS Drive,32.646156,-97.174096,76001
24-0025071,6/29/2024 4:16,6/29/2024,2299,113,"Cooking fire, confined to container",539 DIPERT Court,32.741623,-97.121831,76012
24-0025130,6/29/2024 14:29,6/29/2024,987,150,"Outside rubbish fire, other",1905 SOUTHRIDGE Drive,32.714257,-97.102285,76010
24-0025176,6/29/2024 21:50,6/29/2024,7,143,Grass fire,1001 VIRIDIAN PARK Lane,32.795934,-97.092938,76155
24-0025225,6/30/2024 9:39,6/30/2024,917,151,"Outside rubbish, trash or waste fire",2204 RIDGEWAY Street,32.728658,-97.070912,76010
24-0025271,6/30/2024 17:21,6/30/2024,997,143,Grass fire,East I20 Freeway,32.678251,-97.114977,76017
24-0025312,6/30/2024 23:38,6/30/2024,1628,113,"Cooking fire, confined to container",2728 FURRS Street,32.781215,-97.094385,76006
24-0025319,7/1/2024 1:31,7/1/2024,6586,111,Building fire,1701 East DIVISION Street,32.741096,-97.087438,76010
24-0025384,7/1/2024 16:35,7/1/2024,1285,113,"Cooking fire, confined to container",1501 STONELEIGH Court,32.769007,-97.087418,76011
24-0025400,7/1/2024 20:14,7/1/2024,752,113,"Cooking fire, confined to container",3512 RAYNORWOOD Court,32.689335,-97.14375,76015
24-0025417,7/1/2024 23:46,7/1/2024,6225,150,"Outside rubbish fire, other",1308 ASHBURY Court,32.698714,-97.129161,76015
24-0025511,7/2/2024 16:55,7/2/2024,834,111,Building fire,6806 LAKE JACKSON Drive,32.630617,-97.080554,76002
24-0025533,7/2/2024 19:37,7/2/2024,800,154,Dumpster or other outside trash receptacle fire,701 East ARKANSAS Lane,32.706411,-97.101405,76010
24-0025541,7/2/2024 20:14,7/2/2024,1649,154,Dumpster or other outside trash receptacle fire,2411 East PARK ROW Drive,32.720786,-97.065579,76010
24-0025543,7/2/2024 21:00,7/2/2024,879,143,Grass fire,COOPER Street,32.675639,-97.134824,76017
24-0025666,7/3/2024 20:01,7/3/2024,1911,142,Brush or brush-and-grass mixture fire,1004 BENT CREEK Drive,32.710949,-97.11696,76013
24-0025686,7/3/2024 23:06,7/3/2024,1172,154,Dumpster or other outside trash receptacle fire,1640 West RANDOL MILL Road,32.749731,-97.132951,76012
24-0025698,7/4/2024 1:22,7/4/2024,1734,151,"Outside rubbish, trash or waste fire",400 CRAVENS PARK Drive,32.653344,-97.108713,76018
24-0025771,7/4/2024 16:21,7/4/2024,2193,160,"Special outside fire, other",6216 ECHO SUMMIT Lane,32.661024,-97.205901,76017
24-0025809,7/4/2024 21:35,7/4/2024,742,142,Brush or brush-and-grass mixture fire,1800 BROWN BLV,32.773226,-97.083058,76006
24-0025810,7/4/2024 21:44,7/4/2024,516,151,"Outside rubbish, trash or waste fire",3900 MORRIS Lane,32.683998,-97.187051,76016
24-0025817,7/4/2024 23:07,7/4/2024,576,151,"Outside rubbish, trash or waste fire",2121 OVERBROOK Drive,32.695308,-97.073143,76014
24-0025820,7/4/2024 23:30,7/4/2024,492,150,"Outside rubbish fire, other",1712 BRIAR MEADOW Drive,32.697529,-97.084207,76014
24-0025823,7/4/2024 23:10,7/4/2024,3069,143,Grass fire,204 AMBER RIDGE Drive,32.631087,-97.113194,76001
24-0025827,7/4/2024 23:14,7/4/2024,3822,154,Dumpster or other outside trash receptacle fire,625 ENGLESIDE Drive,32.657338,-97.101047,76018
24-0025829,7/4/2024 23:38,7/4/2024,1929,143,Grass fire,819 BENGE Drive,32.724415,-97.117574,76013
24-0025837,7/5/2024 0:45,7/5/2024,2179,151,"Outside rubbish, trash or waste fire",412 West PARK ROW Drive,32.721103,-97.110185,76010
